antecedents,consequents,support,confidence,lift
"FOOD STAPLES, TEA AND SPICES","BISCUITS AND COOKIES, COOKING OIL",0.011099033650252022,0.11021040167592677,3.699760638985996
"CANNED AND PACKAGED FOODS, COOKING OIL","FOOD STAPLES, PERSONAL CARE",0.012030068291161591,0.2350358422939068,3.69663925169419
"FOOD STAPLES, PERSONAL CARE","CANNED AND PACKAGED FOODS, COOKING OIL",0.012030068291161591,0.18920868498881913,3.6966392516941897
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES, TEA AND SPICES",COOKING OIL,0.010677086916440788,0.5580057526366252,3.6951315157514384
COOKING OIL,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.07070400291562899,3.695131515751438
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, HOUSEHOLD ITEMS",PERSONAL CARE,0.01093392405876067,0.5,3.6813162693320725
PERSONAL CARE,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, HOUSEHOLD ITEMS",0.01093392405876067,0.08050246505031404,3.6813162693320725
"CANNED AND PACKAGED FOODS, TEA AND SPICES","CLEANING SUPPLIES, FOOD STAPLES",0.01913436710283117,0.31215862326973437,3.67645058833593
"CLEANING SUPPLIES, FOOD STAPLES","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.01913436710283117,0.22535515583643925,3.67645058833593
"PERSONAL CARE, TEA AND SPICES",CLEANING SUPPLIES,0.015258878080325815,0.5200062519537355,3.6640577545642654
CLEANING SUPPLIES,"PERSONAL CARE, TEA AND SPICES",0.015258878080325815,0.10751680455015511,3.6640577545642654
"CANNED AND PACKAGED FOODS, COOKING OIL, FOOD STAPLES, TEA AND SPICES",CLEANING SUPPLIES,0.010677086916440788,0.5152722443559098,3.6307010839784613
CLEANING SUPPLIES,"CANNED AND PACKAGED FOODS, COOKING OIL, FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.07523267838676319,3.630701083978461
CLEANING SUPPLIES,"CANNED AND PACKAGED FOODS, FOOD STAPLES, PERSONAL CARE",0.017171397515100648,0.12099276111685625,3.6252437344559554
"CANNED AND PACKAGED FOODS, FOOD STAPLES, PERSONAL CARE",CLEANING SUPPLIES,0.017171397515100648,0.514497732582108,3.625243734455955
"CLEANING SUPPLIES, PERSONAL CARE",HOUSEHOLD ITEMS,0.018570242665235718,0.42747043918918926,3.6170588384621722
HOUSEHOLD ITEMS,"CLEANING SUPPLIES, PERSONAL CARE",0.018570242665235718,0.15713287798820244,3.6170588384621722
"CLEANING SUPPLIES, COOKING OIL","BISCUITS AND COOKIES, FOOD STAPLES",0.013006966707485426,0.2956014175526371,3.6049021913375654
"BISCUITS AND COOKIES, FOOD STAPLES","CLEANING SUPPLIES, COOKING OIL",0.013006966707485426,0.15862184685944403,3.604902191337565
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES",HOUSEHOLD ITEMS,0.017382370882006264,0.4256992025160058,3.602071445940017
HOUSEHOLD ITEMS,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES",0.017382370882006264,0.14708165166097484,3.6020714459400165
"CANNED AND PACKAGED FOODS, FOOD STAPLES","HOUSEHOLD ITEMS, TEA AND SPICES",0.014162733847924894,0.09937568385145139,3.5855661062252038
"HOUSEHOLD ITEMS, TEA AND SPICES","CANNED AND PACKAGED FOODS, FOOD STAPLES",0.014162733847924894,0.5110044679794804,3.5855661062252038
"COOKING OIL, TEA AND SPICES","FOOD STAPLES, PERSONAL CARE",0.010190930897049583,0.22773393461104846,3.5817949867120515
