antecedents,consequents,support,confidence,lift
Sugar,BRT MARI 40g,0.0056607722088521505,0.033515053896667084,1.5080196331941966
BRT MARI 40g,Sugar,0.0056607722088521505,0.25470809792843696,1.5080196331941966
Makai,Sugar,0.00786857800565031,0.22541966426858515,1.334615122918392
Sugar,Makai,0.00786857800565031,0.046586544418287704,1.334615122918392
Gharana Maida 1kg,Sugar,0.007251229465313383,0.2176507537688442,1.2886186679276697
Sugar,Gharana Maida 1kg,0.007251229465313383,0.042931483087597574,1.2886186679276694
BADAM RAMRO,Sugar,0.00729308360364131,0.21693121693121692,1.2843585926227483
Sugar,BADAM RAMRO,0.00729308360364131,0.04317928385577995,1.284358592622748
Sugar,PRAWN 120gm,0.0057863346238359314,0.034258456201214225,1.1372284331886222
PRAWN 120gm,Sugar,0.0057863346238359314,0.19208058353594998,1.1372284331886222
